country,year,literacy_rate,Child_per_woman,child_mortality
Afghanistan,1975-01-01,0.8605408348457351,7.45,275.0
Afghanistan,1976-01-01,0.8605408348457351,7.45,269.0
Afghanistan,1977-01-01,0.8605408348457351,7.45,263.0
Afghanistan,1978-01-01,0.8605408348457351,7.45,257.0
Afghanistan,1979-01-01,0.301,7.45,250.0
Afghanistan,1980-01-01,0.8605408348457351,7.45,244.0
Afghanistan,1981-01-01,0.8605408348457351,7.45,238.0
Afghanistan,1982-01-01,0.8605408348457351,7.45,231.0
Afghanistan,1983-01-01,0.8605408348457351,7.45,225.0
Afghanistan,1984-01-01,0.8605408348457351,7.46,218.0
Afghanistan,1985-01-01,0.8605408348457351,7.46,211.0
Afghanistan,1986-01-01,0.8605408348457351,7.46,205.0
Afghanistan,1987-01-01,0.8605408348457351,7.46,198.0
Afghanistan,1988-01-01,0.8605408348457351,7.46,192.0
Afghanistan,1989-01-01,0.8605408348457351,7.46,185.0
Afghanistan,1990-01-01,0.8605408348457351,7.47,179.0
Afghanistan,1991-01-01,0.8605408348457351,7.48,173.0
Afghanistan,1992-01-01,0.8605408348457351,7.5,167.0
Afghanistan,1993-01-01,0.8605408348457351,7.54,161.0
Afghanistan,1994-01-01,0.8605408348457351,7.57,156.0
Afghanistan,1995-01-01,0.8605408348457351,7.61,151.0
Afghanistan,1996-01-01,0.8605408348457351,7.63,146.0
Afghanistan,1997-01-01,0.8605408348457351,7.64,142.0
Afghanistan,1998-01-01,0.8605408348457351,7.62,138.0
Afghanistan,1999-01-01,0.8605408348457351,7.57,133.0
Afghanistan,2000-01-01,0.8605408348457351,7.49,129.0
Afghanistan,2001-01-01,0.8605408348457351,7.39,125.0
Afghanistan,2002-01-01,0.8605408348457351,7.27,121.0
Afghanistan,2003-01-01,0.8605408348457351,7.14,117.0
Afghanistan,2004-01-01,0.8605408348457351,6.99,113.0
Afghanistan,2005-01-01,0.8605408348457351,6.83,109.0
Afghanistan,2006-01-01,0.8605408348457351,6.65,104.0
Afghanistan,2007-01-01,0.8605408348457351,6.46,100.0
Afghanistan,2008-01-01,0.8605408348457351,6.25,96.0
Afghanistan,2009-01-01,0.8605408348457351,6.04,91.9
Afghanistan,2010-01-01,0.8605408348457351,5.82,88.0
Afghanistan,2011-01-01,0.8605408348457351,5.6,84.1
Albania,1975-01-01,0.8605408348457351,4.24,104.0
Albania,1976-01-01,0.8605408348457351,4.1,100.0
Albania,1977-01-01,0.8605408348457351,3.97,97.4
Albania,1978-01-01,0.8605408348457351,3.84,95.3
Albania,1979-01-01,0.8605408348457351,3.73,87.7
Albania,1980-01-01,0.8605408348457351,3.62,80.8
Albania,1981-01-01,0.8605408348457351,3.53,74.5
Albania,1982-01-01,0.8605408348457351,3.45,68.6
Albania,1983-01-01,0.8605408348457351,3.38,63.4
Albania,1984-01-01,0.8605408348457351,3.32,58.7
Albania,1985-01-01,0.8605408348457351,3.27,54.6
Albania,1986-01-01,0.8605408348457351,3.22,51.0
Albania,1987-01-01,0.8605408348457351,3.16,47.9
Albania,1988-01-01,0.8605408348457351,3.11,45.1
Albania,1989-01-01,0.8605408348457351,3.05,42.7
Albania,1990-01-01,0.8605408348457351,2.98,40.7
Albania,1991-01-01,0.8605408348457351,2.91,38.9
Albania,1992-01-01,0.8605408348457351,2.83,37.4
Albania,1993-01-01,0.8605408348457351,2.75,35.9
Albania,1994-01-01,0.8605408348457351,2.67,34.5
Albania,1995-01-01,0.8605408348457351,2.59,33.2
Albania,1996-01-01,0.8605408348457351,2.51,31.7
Albania,1997-01-01,0.8605408348457351,2.42,30.3
Albania,1998-01-01,0.8605408348457351,2.33,28.8
Albania,1999-01-01,0.8605408348457351,2.25,27.4
Albania,2000-01-01,0.8605408348457351,2.16,25.9
Albania,2001-01-01,0.9940000000000001,2.07,24.5
Albania,2002-01-01,0.8605408348457351,1.98,23.1
Albania,2003-01-01,0.8605408348457351,1.9,21.8
Albania,2004-01-01,0.8605408348457351,1.82,20.4
Albania,2005-01-01,0.8605408348457351,1.75,19.2
Albania,2006-01-01,0.8605408348457351,1.7,17.9
Albania,2007-01-01,0.8605408348457351,1.67,16.7
Albania,2008-01-01,0.988,1.65,15.5
Albania,2009-01-01,0.8605408348457351,1.65,14.4
Albania,2010-01-01,0.8605408348457351,1.65,13.3
Albania,2011-01-01,0.988,1.67,12.3
Algeria,1975-01-01,0.8605408348457351,7.43,204.0
Algeria,1976-01-01,0.8605408348457351,7.34,194.0
Algeria,1977-01-01,0.8605408348457351,7.23,184.0
Algeria,1978-01-01,0.8605408348457351,7.11,173.0
Algeria,1979-01-01,0.8605408348457351,6.96,162.0
Algeria,1980-01-01,0.8605408348457351,6.79,149.0
Algeria,1981-01-01,0.8605408348457351,6.62,134.0
Algeria,1982-01-01,0.8605408348457351,6.43,118.0
Algeria,1983-01-01,0.8605408348457351,6.24,102.0
Algeria,1984-01-01,0.8605408348457351,6.04,87.0
Algeria,1985-01-01,0.8605408348457351,5.84,74.4
Algeria,1986-01-01,0.8605408348457351,5.63,65.0
Algeria,1987-01-01,0.743,5.41,58.5
